Fold,Accuracy,Precision,Recall,F1-Score,ROC AUC,Specificity,Kappa,MCC,Confusion Matrix
1,0.9911226512745838,0.9869756250653834,0.9953404135602757,0.9911403708437658,0.9996403500152253,0.98692364247453,0.982245548928827,0.9822806694470974,"[[56379,  747],
 [  265,56607]]"
2,0.9907716869742186,0.986464357884468,0.9951671294506345,0.9907966335975364,0.9995730293976395,0.9863911025483842,0.9815435962478937,0.9815816655559457,"[[56318,  777],
 [  275,56627]]"
3,0.9909822188303201,0.9867998820488804,0.995328656157601,0.9910459201449376,0.9996551803243969,0.9866115411681914,0.9819638635092214,0.9820007480749227,"[[56079,  761],
 [  267,56890]]"
4,0.9908769529022694,0.9874709490275569,0.9943166822092798,0.9908819919340698,0.9996698534942735,0.9874571408578826,0.9817541181887395,0.9817775736392798,"[[56447,  717],
 [  323,56510]]"
5,0.9910173074730037,0.986020050646963,0.9961798619142747,0.991073919107392,0.9996586432974655,0.9858425111099401,0.9820343702696197,0.9820866304599062,"[[56125,  806],
 [  218,56848]]"
6,0.9917278524873462,0.9886961368307381,0.9948474386161692,0.991762249613446,0.999674554834841,0.9886016368681724,0.983455576962547,0.9834746523760307,"[[56289,  649],
 [  294,56765]]"
7,0.9908243199382439,0.986162184771432,0.9955662684518888,0.990841913567276,0.9996091569629592,0.986109167249825,0.9816489869810947,0.9816933694001847,"[[56366,  794],
 [  252,56585]]"
8,0.9905436107967753,0.9855281445448228,0.9956996419293688,0.9905877833269304,0.9996149053183268,0.985392371766769,0.9810873082143379,0.9811395161050541,"[[56192,  833],
 [  245,56727]]"
9,0.9907892312955604,0.9870635693420503,0.9946385394400252,0.9908365768942105,0.9995241861879504,0.9869297120671785,0.9815782427587716,0.9816072259295204,"[[56179,  744],
 [  306,56768]]"
10,0.9901664078879269,0.985163514784244,0.9952676670830182,0.9901898152604819,0.9995596974646451,0.9850929068831578,0.98033321818974,0.9803845008190119,"[[56302,  852],
 [  269,56574]]"
Overall,0.9908822239860248,0.986634441494654,0.9952352298812535,0.9909157174290046,0.9996179557297722,0.9865351732994032,0.9817644830250793,0.9818026551806953,"[[56267.6,  768. ],
 [  271.4,56690.1]]"
